"palette_name","color_id","hex_code","hue","chroma","luminance","L_star","a_star","b_star","deuteranopia_hex","protanopia_hex","tritanopia_hex","desat_50_hex","desat_100_hex","deuteranopia_hue","deuteranopia_chroma","deuteranopia_luminance","protanopia_hue","protanopia_chroma","protanopia_luminance","tritanopia_hue","tritanopia_chroma","tritanopia_luminance","desat_50_hue","desat_50_chroma","desat_50_luminance","desat_100_hue","desat_100_chroma","desat_100_luminance"
"my_palette","white","#FFFFFF",94.1,0.01,100,100,0,0,"#FFFFFF","#FFFFFF","#FFFFFF","#FFFFFF","#FFFFFF",94.1,0.01,100,94.1,0.01,100,94.1,0.01,100,94.1,0.01,100,94.1,0.01,100
"my_palette","black","#000000",180,0,0,0,0,0,"#000000","#000000","#000000","#000000","#000000",180,0,0,180,0,0,180,0,0,180,0,0,180,0,0
"my_palette","color_1","#67bff1",233.92,63.07,73.86,73.86,-12.35,-32.8,"#94AFF0","#A7BEF3","#00CCD0","#97BAD4","#B6B5B6",254.56,59.79,71.72,253.27,48.73,76.99,195.42,59.47,74.66,233.72,31.46,73.84,307.94,0.83,73.79
"my_palette","color_2","#307769",170.12,29.84,45.42,45.42,-25.85,1.06,"#68686A","#727068","#007973","#54716A","#6B6B6B",265.86,1.55,44.07,75.79,6.54,47.19,184.22,35.92,45.51,170.46,14.64,45.27,94.1,0,45.22
"my_palette","color_3","#d0ea76",98.64,73.08,88.72,88.72,-25.55,53,"#F3DF7D","#F6DF6C","#D9E0CF","#D7E5B1","#DFDFDF",74.64,67.68,88.6,74.11,75.91,88.66,104.15,12.57,88.24,98.77,36.84,88.76,94.1,0.01,88.82
"my_palette","color_4","#29326a",262.42,42.12,22.97,22.97,14.95,-34.03,"#093469","#153A6C","#003F49","#323551","#373737",254.69,43.17,22.06,253.73,42.53,24.54,213.53,20.94,23.79,262.7,21.15,23.06,94.1,0,23.07
"my_palette","color_5","#b57ec4",297.62,54.26,60.54,60.54,33.43,-28.11,"#8294C2","#758EC7","#B68698","#A389AC","#929292",254.55,41.99,61.5,254.26,52.78,59.2,346.13,29.27,61.01,296.67,27.46,60.48,94.1,0,60.56
"my_palette","color_6","#be3c00",19.04,111.83,44.49,44.49,50.17,55.99,"#837400","#635700","#D20633","#9E5549","#696969",74.55,54.16,48.66,74.22,41.08,36.87,8.49,137.12,44.34,19.06,56.09,44.59,94.1,0,44.41
"my_palette","color_7","#ddb71a",66.9,84.58,75.65,75.65,0.19,74.16,"#D6BF29","#CCB400","#F0A79C","#CEB985","#BABABA",74.41,81.57,77.11,73.75,81.67,73.21,20.07,52.59,75.18,67.24,42.17,75.77,94.1,0.01,75.51
"my_palette","color_8","#176cdf",256.64,102.9,47.28,47.28,19.76,-65.08,"#0068DD","#1679E3","#00889B","#5A6FA8","#707070",256.77,103.87,45.8,253.93,99.5,51.14,213.07,45.42,51.81,256.52,51.43,47.45,94.1,0,47.24
"my_palette","color_9","#df997c",30.31,58.12,69.42,69.42,22.84,25.83,"#BBAF7C","#ABA17A","#EF8D91","#C7A194","#A9A9A9",74.52,38.69,71.34,74.05,30.45,66.18,10.06,68.15,69.08,30.4,28.89,69.31,94.1,0.01,69.24
"my_palette","color_10","#2b4d0a",116.18,35.79,29.01,29.01,-24.49,32.86,"#4C4312","#504600","#2B4A41","#38492F","#444444",73.77,27.69,28.37,74.2,33.01,29.63,164.33,14.17,28.88,116.41,17.79,28.93,94.1,0,28.85
