"color1","color2","w3c_contrast","apca_contrast"
"white","white",1,0
"black","white",21,0
"color_1","white",2.03899166916466,0
"color_2","white",5.29181836473695,0
"color_3","white",1.33649782556552,0
"color_4","white",11.9410064664863,0
"color_5","white",3.11286461916953,0
"color_6","white",5.4747759879633,0
"color_7","white",1.93321369126458,0
"color_8","white",4.94466783207909,0
"color_9","white",2.33719349329605,0
"color_10","white",9.68343439672246,0
"white","black",21,0
"black","black",1,0
"color_1","black",10.299208337915,0
"color_2","black",3.96839017377042,0
"color_3","black",15.7127079433251,0
"color_4","black",1.75864572713688,0
"color_5","black",6.7461976568716,0
"color_6","black",3.83577338071367,0
"color_7","black",10.8627411935321,0
"color_8","black",4.2469991338468,0
"color_9","black",8.98513540288207,0
"color_10","black",2.16865206492315,0
"white","color_1",2.03899166916466,0
"black","color_1",10.299208337915,0
"color_1","color_1",1,0
"color_2","color_1",2.59531142023004,0
"color_3","color_1",1.52562288554558,0
"color_4","color_1",5.85632920774922,0
"color_5","color_1",1.52666863050246,0
"color_6","color_1",2.6850408811166,0
"color_7","color_1",1.05471613323351,0
"color_8","color_1",2.42505543639853,0
"color_9","color_1",1.14624965302264,0
"color_10","color_1",4.74912896563702,0
"white","color_2",5.29181836473696,0
"black","color_2",3.96839017377042,0
"color_1","color_2",2.59531142023004,0
"color_2","color_2",1,0
"color_3","color_2",3.95946649782075,0
"color_4","color_2",2.25650346316826,0
"color_5","color_2",1.69998345965612,0
"color_6","color_2",1.03457367782037,0
"color_7","color_2",2.73731682568181,0
"color_8","color_2",1.07020704816726,0
"color_9","color_2",2.26417640641045,0
"color_10","color_2",1.82988790039543,0
"white","color_3",1.33649782556552,0
"black","color_3",15.7127079433251,0
"color_1","color_3",1.52562288554558,0
"color_2","color_3",3.95946649782075,0
"color_3","color_3",1,0
"color_4","color_3",8.93454986463123,0
"color_5","color_3",2.32912060133908,0
"color_6","color_3",4.09635981685696,0
"color_7","color_3",1.44647724394655,0
"color_8","color_3",3.69972007248633,0
"color_9","color_3",1.74874470320003,0
"color_10","color_3",7.24537983638324,0
"white","color_4",11.9410064664863,0
"black","color_4",1.75864572713688,0
"color_1","color_4",5.85632920774922,0
"color_2","color_4",2.25650346316826,0
"color_3","color_4",8.93454986463123,0
"color_4","color_4",1,0
"color_5","color_4",3.8360185640428,0
"color_6","color_4",2.18109498776562,0
"color_7","color_4",6.17676489693974,0
"color_8","color_4",2.4149259104965,0
"color_9","color_4",5.10912190228906,0
"color_10","color_4",1.2331375395622,0
"white","color_5",3.11286461916953,0
"black","color_5",6.7461976568716,0
"color_1","color_5",1.52666863050246,0
"color_2","color_5",1.69998345965612,0
"color_3","color_5",2.32912060133908,0
"color_4","color_5",3.8360185640428,0
"color_5","color_5",1,0
"color_6","color_5",1.75875814009023,0
"color_7","color_5",1.61020203469245,0
"color_8","color_5",1.58846221632287,0
"color_9","color_5",1.33188143305139,0
"color_10","color_5",3.11077916369709,0
"white","color_6",5.4747759879633,0
"black","color_6",3.83577338071367,0
"color_1","color_6",2.6850408811166,0
"color_2","color_6",1.03457367782037,0
"color_3","color_6",4.09635981685696,0
"color_4","color_6",2.18109498776562,0
"color_5","color_6",1.75875814009023,0
"color_6","color_6",1,0
"color_7","color_6",2.83195593570521,0
"color_8","color_6",1.10720804185168,0
"color_9","color_6",2.34245731201418,0
"color_10","color_6",1.7687361853731,0
"white","color_7",1.93321369126458,0
"black","color_7",10.8627411935321,0
"color_1","color_7",1.05471613323351,0
"color_2","color_7",2.73731682568181,0
"color_3","color_7",1.44647724394655,0
"color_4","color_7",6.17676489693974,0
"color_5","color_7",1.61020203469245,0
"color_6","color_7",2.83195593570521,0
"color_7","color_7",1,0
"color_8","color_7",2.55774509275517,0
"color_9","color_7",1.2089680017563,0
"color_10","color_7",5.00898293886395,0
"white","color_8",4.94466783207909,0
"black","color_8",4.2469991338468,0
"color_1","color_8",2.42505543639853,0
"color_2","color_8",1.07020704816726,0
"color_3","color_8",3.69972007248633,0
"color_4","color_8",2.4149259104965,0
"color_5","color_8",1.58846221632287,0
"color_6","color_8",1.10720804185168,0
"color_7","color_8",2.55774509275517,0
"color_8","color_8",1,0
"color_9","color_8",2.11564333302409,0
"color_10","color_8",1.95835892835917,0
"white","color_9",2.33719349329605,0
"black","color_9",8.98513540288207,0
"color_1","color_9",1.14624965302264,0
"color_2","color_9",2.26417640641045,0
"color_3","color_9",1.74874470320003,0
"color_4","color_9",5.10912190228906,0
"color_5","color_9",1.33188143305139,0
"color_6","color_9",2.34245731201418,0
"color_7","color_9",1.2089680017563,0
"color_8","color_9",2.11564333302409,0
"color_9","color_9",1,0
"color_10","color_9",4.14318901045129,0
"white","color_10",9.68343439672246,0
"black","color_10",2.16865206492315,0
"color_1","color_10",4.74912896563702,0
"color_2","color_10",1.82988790039543,0
"color_3","color_10",7.24537983638324,0
"color_4","color_10",1.2331375395622,0
"color_5","color_10",3.11077916369709,0
"color_6","color_10",1.7687361853731,0
"color_7","color_10",5.00898293886395,0
"color_8","color_10",1.95835892835917,0
"color_9","color_10",4.14318901045129,0
"color_10","color_10",1,0
